97069	      3.0735	1.0000
118118	     15.3054	0.8412
119030	     15.3416	0.8414
121209	     15.3451	0.8355
121980	     15.3978	0.8357
138440	     23.6807	0.7580
139218	     23.6795	0.7582
140721	     23.6895	0.7563
141492	     23.6895	0.7565
154444	     27.8989	0.7208
155222	     27.8767	0.7210
156240	     27.8761	0.7208
156869	     27.8807	0.7209
159348	     31.0711	0.7169
159977	     31.0631	0.7171
160964	     31.0481	0.7170
161611	     31.0368	0.7172
163129	     34.1621	0.7173
163758	     34.1424	0.7175
164856	     34.0561	0.7176
165488	     34.0364	0.7178
166607	     37.1466	0.7179
167232	     37.1170	0.7181
168051	     37.0746	0.7183
168680	     37.0446	0.7185
